Ano;Mes;Total;Worm;DOS;Invasao;Web;Scan;Fraude;Outros
2019;Janeiro;62481;7796;4191;19;2594;46038;1744;99
2019;Fevereiro;70069;7707;2192;27;4179;54401;1459;104
2019;Março;85409;4476;29309;19;2006;47966;1521;112
2019;Abril;59900;7624;2718;37;1555;45774;2119;73
2019;Maio;52129;6555;15773;74;1425;25521;2633;148
2019;Junho;221231;6598;191593;52;1337;19289;2230;132
2019;Julho;48836;8230;3884;27;1308;32054;2994;339
2019;Agosto;61006;11421;5892;51;1561;37521;4400;160
2019;Setembro;52027;9599;7326;28;1876;27654;5388;156
2019;Outubro;53253;10568;8313;45;2219;26153;5859;96
2019;Novembro;59735;7032;25701;80;625;20450;5795;52
2019;Dezembro;49251;12871;4416;68;1649;26927;3277;43
2018;Janeiro;46847;6227;47;83;4120;34276;1890;204
2018;Fevereiro;75608;1969;40575;96;2177;28254;2337;200
2018;Março;46985;2373;10677;38;2116;27890;3681;210
2018;Abril;58382;2531;42;193;2479;47075;5988;74
2018;Maio;41641;2967;2115;168;2186;31428;2661;116
2018;Junho;37562;5146;7442;127;1851;19949;2883;164
2018;Julho;68865;2955;6876;103;4769;50753;3319;90
2018;Agosto;85271;952;51524;55;5787;23509;3414;30
2018;Setembro;53679;2831;13940;34;2181;30871;3726;96
2018;Outubro;63049;4576;16045;47;3519;35628;3169;65
2018;Novembro;47731;2896;3701;120;6467;32245;2206;96
2018;Dezembro;50894;3648;5423;11;3541;35712;2410;149
2017;Janeiro;64161;1119;154;62;12169;44475;5424;758
2017;Fevereiro;27092;1469;76;35;4362;16809;3815;526
2017;Março;54305;1391;19;23;6281;41423;4587;581
2017;Abril;51011;2086;29;18;7782;35530;5310;256
2017;Maio;47616;2100;8;50;6232;32858;6027;341
2017;Junho;49519;3949;237;14;8320;30959;5733;307
2017;Julho;257618;4973;207780;1;4131;34364;5559;810
2017;Agosto;54035;4110;11314;23;3037;28592;6513;446
2017;Setembro;47940;7264;254;24;1465;35474;3308;151
2017;Outubro;74116;7350;184;13;1691;60890;3690;298
2017;Novembro;63646;5253;120;39;3245;51466;3316;207
2017;Dezembro;42716;4037;13;99;2051;30418;6037;61
2016;Janeiro;54781;4994;942;272;2266;32959;11846;1502
2016;Fevereiro;57041;4176;137;95;1422;40911;8783;1517
2016;Março;92852;3886;12851;106;4526;58962;10573;1948
2016;Abril;44352;1170;6147;126;1637;22531;11681;1060
2016;Maio;49228;3186;338;125;2361;27496;14456;1266
2016;Junho;59266;2041;823;126;1554;41210;12646;866
2016;Julho;38402;1766;1676;116;1804;25763;6252;1025
2016;Agosto;49596;1927;260;137;10802;27970;7402;1098
2016;Setembro;45472;1583;9171;145;6027;21596;6082;868
2016;Outubro;35372;1293;410;86;5050;23257;4182;1094
2016;Novembro;57345;1018;15735;320;7758;25858;5277;1379
2016;Dezembro;63405;1208;11942;41;10234;35390;3538;1052
2015;Janeiro;67661;2829;1367;409;6547;36445;18465;1599
2015;Fevereiro;66700;2682;2056;289;8102;39267;12513;1791
2015;Março;52959;2867;70;489;8822;32351;6338;2022
2015;Abril;52991;3046;34;150;6297;31215;10571;1678
2015;Maio;58322;3122;374;177;5399;23242;23890;2118
2015;Junho;81244;3423;1016;157;9219;29593;36327;1509
2015;Julho;53075;4141;2763;160;4716;32601;6561;2133
2015;Agosto;65486;3683;3354;104;4447;33446;18701;1751
2015;Setembro;59311;4326;2511;119;3993;29759;16560;2043
2015;Outubro;52226;6301;1702;140;4315;32554;6089;1125
2015;Novembro;64203;5912;9142;145;2297;38482;6595;1630
2015;Dezembro;48027;5390;971;118;1493;32268;6165;1622
2014;Janeiro;33959;2853;6539;590;1267;13916;7248;1546
2014;Fevereiro;43227;4163;6190;764;1434;19862;9616;1198
2014;Março;45808;9238;2829;780;1253;22471;7780;1457
2014;Abril;41533;3513;1505;1559;1900;23320;8562;1174
2014;Maio;48565;2857;8383;293;1997;20756;12962;1317
2014;Junho;54057;2274;10345;612;2171;17477;20149;1029
2014;Julho;58662;3294;10218;210;2225;20292;21265;1158
2014;Agosto;134156;3327;38822;187;1828;21500;67480;1012
2014;Setembro;214954;3312;56184;290;2347;21498;130108;1215
2014;Outubro;206148;2563;50195;296;3029;23763;125060;1242
2014;Novembro;107219;2571;29566;201;3416;28053;42420;992
2014;Dezembro;58743;2226;3159;727;5941;30751;14971;968
2013;Janeiro;36067;2217;15;2149;1305;18954;6247;5180
2013;Fevereiro;26471;1523;6;1206;1364;12664;5573;4135
2013;Março;28090;1771;6;1686;1113;13913;5259;4342
2013;Abril;29943;2084;14;1511;1479;13465;6615;4775
2013;Maio;23409;1638;6;972;1349;10378;5338;3728
2013;Junho;29713;2580;15;592;2177;15664;5061;3624
2013;Julho;30874;2932;123;509;1710;13769;7530;4301
2013;Agosto;28531;2090;24;542;1942;12336;8145;3452
2013;Setembro;31482;2365;86;419;1573;15911;8538;2590
2013;Outubro;28842;2847;34;741;1066;13231;8239;2684
2013;Novembro;30213;2843;28;363;2247;13263;8876;2593
2013;Dezembro;29290;3089;673;517;1396;11848;10254;1513
2012;Janeiro;27148;6830;7;603;2137;8478;4096;4997
